Tanggal,SUM of IHSG
Tue Aug 04 2015 00:00:00 GMT+0700 (Western Indonesia Time),4781.09
Wed Aug 05 2015 00:00:00 GMT+0700 (Western Indonesia Time),4850.53
Thu Aug 06 2015 00:00:00 GMT+0700 (Western Indonesia Time),4806.56
Fri Aug 07 2015 00:00:00 GMT+0700 (Western Indonesia Time),4770.3
Sat Aug 08 2015 00:00:00 GMT+0700 (Western Indonesia Time),4770.3
Sun Aug 09 2015 00:00:00 GMT+0700 (Western Indonesia Time),4770.3
Mon Aug 10 2015 00:00:00 GMT+0700 (Western Indonesia Time),4748.95
Tue Aug 11 2015 00:00:00 GMT+0700 (Western Indonesia Time),4622.59
Wed Aug 12 2015 00:00:00 GMT+0700 (Western Indonesia Time),4479.49
Thu Aug 13 2015 00:00:00 GMT+0700 (Western Indonesia Time),4584.25
Fri Aug 14 2015 00:00:00 GMT+0700 (Western Indonesia Time),4585.39
Sat Aug 15 2015 00:00:00 GMT+0700 (Western Indonesia Time),4585.39
Sun Aug 16 2015 00:00:00 GMT+0700 (Western Indonesia Time),4585.39
Mon Aug 17 2015 00:00:00 GMT+0700 (Western Indonesia Time),4585.39
Tue Aug 18 2015 00:00:00 GMT+0700 (Western Indonesia Time),4510.48
Wed Aug 19 2015 00:00:00 GMT+0700 (Western Indonesia Time),4484.24
Thu Aug 20 2015 00:00:00 GMT+0700 (Western Indonesia Time),4441.91
Fri Aug 21 2015 00:00:00 GMT+0700 (Western Indonesia Time),4335.95
Sat Aug 22 2015 00:00:00 GMT+0700 (Western Indonesia Time),4335.95
Sun Aug 23 2015 00:00:00 GMT+0700 (Western Indonesia Time),4335.95
Mon Aug 24 2015 00:00:00 GMT+0700 (Western Indonesia Time),4163.73
Tue Aug 25 2015 00:00:00 GMT+0700 (Western Indonesia Time),4228.5
Wed Aug 26 2015 00:00:00 GMT+0700 (Western Indonesia Time),4237.73
Thu Aug 27 2015 00:00:00 GMT+0700 (Western Indonesia Time),4430.63
Fri Aug 28 2015 00:00:00 GMT+0700 (Western Indonesia Time),4446.2
Sat Aug 29 2015 00:00:00 GMT+0700 (Western Indonesia Time),4446.2
Sun Aug 30 2015 00:00:00 GMT+0700 (Western Indonesia Time),4446.2
Mon Aug 31 2015 00:00:00 GMT+0700 (Western Indonesia Time),4509.61
Tue Sep 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),4412.46
Wed Sep 02 2015 00:00:00 GMT+0700 (Western Indonesia Time),4401.29
Thu Sep 03 2015 00:00:00 GMT+0700 (Western Indonesia Time),4433.11
Fri Sep 04 2015 00:00:00 GMT+0700 (Western Indonesia Time),4415.34
Sat Sep 05 2015 00:00:00 GMT+0700 (Western Indonesia Time),4415.34
Sun Sep 06 2015 00:00:00 GMT+0700 (Western Indonesia Time),4415.34
Mon Sep 07 2015 00:00:00 GMT+0700 (Western Indonesia Time),4301.36
Tue Sep 08 2015 00:00:00 GMT+0700 (Western Indonesia Time),4318.59
Wed Sep 09 2015 00:00:00 GMT+0700 (Western Indonesia Time),4347.28
Thu Sep 10 2015 00:00:00 GMT+0700 (Western Indonesia Time),4343.26
Fri Sep 11 2015 00:00:00 GMT+0700 (Western Indonesia Time),4360.47
Sat Sep 12 2015 00:00:00 GMT+0700 (Western Indonesia Time),4360.47
Sun Sep 13 2015 00:00:00 GMT+0700 (Western Indonesia Time),4360.47
Mon Sep 14 2015 00:00:00 GMT+0700 (Western Indonesia Time),4390.37
Tue Sep 15 2015 00:00:00 GMT+0700 (Western Indonesia Time),4347.16
Wed Sep 16 2015 00:00:00 GMT+0700 (Western Indonesia Time),4332.51
Thu Sep 17 2015 00:00:00 GMT+0700 (Western Indonesia Time),4378.39
Fri Sep 18 2015 00:00:00 GMT+0700 (Western Indonesia Time),4380.32
Sat Sep 19 2015 00:00:00 GMT+0700 (Western Indonesia Time),4380.32
Sun Sep 20 2015 00:00:00 GMT+0700 (Western Indonesia Time),4380.32
Mon Sep 21 2015 00:00:00 GMT+0700 (Western Indonesia Time),4376.08
Tue Sep 22 2015 00:00:00 GMT+0700 (Western Indonesia Time),4344.04
Wed Sep 23 2015 00:00:00 GMT+0700 (Western Indonesia Time),4244.43
Thu Sep 24 2015 00:00:00 GMT+0700 (Western Indonesia Time),4244.43
Fri Sep 25 2015 00:00:00 GMT+0700 (Western Indonesia Time),4209.44
