Tanggal,Sekuritas,Opinion,Opini Sekuritas,Support,Resistance,Pivot,Opininion Direction,Act. change,Act. direction,hit,,
Mon Apr 22 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG peluang downside terbuka di kisaran level 7.035,Phintraco Sekuritas^IHSG peluang downside terbuka di kisaran level 7.035^,7000,7100,,-1,-0.19,-1,1,,
Tue Apr 23 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprakirakan berbalik menguat,MNC Sekuritas^IHSG diprakirakan berbalik menguat^,7022,7152,,1,0.52,1,1,,
Tue Apr 23 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG diprediksi rebound ,Phintraco Sekuritas^IHSG diprediksi rebound ^,7150,7050,,1,0.52,1,1,,
Wed Apr 24 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi melanjutkan penguatan,MNC Sekuritas^IHSG diprediksi melanjutkan penguatan^,7022,7152,,1,0.9,1,1,,
Wed Apr 24 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG berpotensi menguat,Phintraco Sekuritas^IHSG berpotensi menguat^,7072,7165,,1,0.9,1,1,,
Thu Apr 25 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG berpotensi menguat,MNC Sekuritas^IHSG berpotensi menguat^,7022,7152,,1,-0.27,-1,0,,
Thu Apr 25 2024 00:00:00 GMT+0700 (Indochina Time),RHB Sekuritas,IHSG melanjutkan rebound,RHB Sekuritas^IHSG melanjutkan rebound^,7000,7200,,1,-0.27,-1,0,,
Fri Apr 26 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG akan cenderung terkoreksi dalam jangka pendek,MNC Sekuritas^IHSG akan cenderung terkoreksi dalam jangka pendek^,7026,7191,,-1,-1.67,-1,1,,
Fri Apr 26 2024 00:00:00 GMT+0700 (Indochina Time),RHB Sekuritas,IHSG berisiko lanjut melemah,RHB Sekuritas^IHSG berisiko lanjut melemah^,7000,7200,,-1,-1.67,-1,1,,
Mon Apr 29 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi masih berpeluang melanjutkan pelemahan,MNC Sekuritas^IHSG diprediksi masih berpeluang melanjutkan pelemahan^,7026,7191,,-1,0.11,1,0,,
Mon Apr 29 2024 00:00:00 GMT+0700 (Indochina Time),BRI Danareksa Sekuritas,IHSG berpotensi melanjutkan penurunan,BRI Danareksa Sekuritas^IHSG berpotensi melanjutkan penurunan^,6893,7036,,-1,0.11,1,0,,
Tue Apr 30 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG diperkirakan mengalami technical rebound,Phintraco Sekuritas^IHSG diperkirakan mengalami technical rebound^,7100,7200,,-1,1.1,1,0,,
Tue Apr 30 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi rawan mengalami koreksi,MNC Sekuritas^IHSG diprediksi rawan mengalami koreksi^,7026,7191,,-1,1.1,1,0,,
Thu May 02 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG diprediksi rebound,Phintraco Sekuritas^IHSG diprediksi rebound^,7150,7250,,1,-1.61,-1,0,,
Thu May 02 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG berpeluang menguji area 7.289,MNC Sekuritas^IHSG berpeluang menguji area 7.289^,7130,7298,,1,-1.61,-1,0,,
Fri May 03 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi masih berpeluang menguat,MNC Sekuritas^IHSG diprediksi masih berpeluang menguat^,7045,7298,,1,0.11,1,1,,
Fri May 03 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG berpeluang menguat menuju level 7.150,Phintraco Sekuritas^IHSG berpeluang menguat menuju level 7.150^,7100,7150,,1,0.11,1,1,,
